service_id,date,exception_type
11017,20140820,1
11017,20140821,1
11017,20140822,1
11017,20140825,1
11017,20140826,1
11017,20140827,1
11017,20140828,1
11017,20140829,1
11017,20140902,1
11017,20140903,1
11017,20140904,1
11017,20140905,1
11017,20140908,1
11017,20140909,1
11017,20140910,1
11017,20140911,1
11017,20140912,1
11017,20140915,1
11017,20140916,1
11017,20140917,1
11017,20140918,1
11017,20140919,1
11017,20140922,1
11017,20140923,1
11017,20140924,1
11017,20140925,1
11017,20140926,1
11017,20140929,1
11017,20140930,1
11017,20141001,1
11017,20141002,1
11017,20141003,1
11017,20141006,1
11017,20141007,1
11017,20141008,1
11017,20141009,1
11017,20141010,1
11017,20141014,1
11017,20141015,1
11017,20141016,1
11017,20141017,1
11017,20141020,1
11017,20141021,1
11017,20141022,1
11017,20141023,1
11017,20141024,1
11017,20141027,1
11017,20141028,1
11017,20141029,1
11017,20141030,1
11017,20141031,1
11017,20141103,1
11017,20141104,1
11017,20141105,1
11017,20141106,1
11017,20141107,1
11017,20141110,1
11017,20141111,1
11017,20141112,1
11017,20141113,1
11017,20141114,1
11017,20141117,1
11017,20141118,1
11017,20141119,1
11017,20141120,1
11017,20141121,1
11017,20141124,1
11017,20141125,1
11017,20141126,1
11017,20141127,1
11017,20141128,1
11017,20141201,1
11017,20141202,1
11017,20141203,1
11017,20141204,1
11017,20141205,1
11017,20141208,1
11017,20141209,1
11017,20141210,1
11017,20141211,1
11017,20141212,1
11017,20141215,1
11017,20141216,1
11017,20141217,1
11017,20141218,1
11017,20141219,1
11018,20140818,1
11018,20140819,1
11018,20140820,1
11018,20140821,1
11018,20140822,1
11018,20140825,1
11018,20140826,1
11018,20140827,1
11018,20140828,1
11018,20140829,1
11018,20140902,1
11018,20140903,1
11018,20140904,1
11018,20140905,1
11018,20140908,1
11018,20140909,1
11018,20140910,1
11018,20140911,1
11018,20140912,1
11018,20140915,1
11018,20140916,1
11018,20140917,1
11018,20140918,1
11018,20140919,1
11018,20140922,1
11018,20140923,1
11018,20140924,1
11018,20140925,1
11018,20140926,1
11018,20140929,1
11018,20140930,1
11018,20141001,1
11018,20141002,1
11018,20141003,1
11018,20141006,1
11018,20141007,1
11018,20141008,1
11018,20141009,1
11018,20141010,1
11018,20141014,1
11018,20141015,1
11018,20141016,1
11018,20141017,1
11018,20141020,1
11018,20141021,1
11018,20141022,1
11018,20141023,1
11018,20141024,1
11018,20141027,1
11018,20141028,1
11018,20141029,1
11018,20141030,1
11018,20141031,1
11018,20141103,1
11018,20141104,1
11018,20141105,1
11018,20141106,1
11018,20141107,1
11018,20141110,1
11018,20141111,1
11018,20141112,1
11018,20141113,1
11018,20141114,1
11018,20141117,1
11018,20141118,1
11018,20141119,1
11018,20141120,1
11018,20141121,1
11018,20141124,1
11018,20141125,1
11018,20141126,1
11018,20141127,1
11018,20141128,1
11018,20141201,1
11018,20141202,1
11018,20141203,1
11018,20141204,1
11018,20141205,1
11018,20141208,1
11018,20141209,1
11018,20141210,1
11018,20141211,1
11018,20141212,1
11018,20141215,1
11018,20141216,1
11018,20141217,1
11018,20141218,1
11018,20141219,1
11019,20140818,1
11019,20140819,1
11019,20140820,1
11019,20140821,1
11019,20140822,1
